dataset,experiment_idx,method,cindex,IPEC (0.50),IPEC (0.60),IPEC (0.70),IPEC (0.75),IPEC (0.80),IPEC (0.90),IPEC (1.00)
gbsg2,0,adaptive kernel,0.7062395494147672,0.10807937065292289,0.12620038783378346,0.1459277510894335,0.15478961819264542,0.16201424976563383,0.1865889127622331,0.44484858448713893
gbsg2,1,adaptive kernel,0.6619729840360213,0.13095600672159657,0.1582938669740717,0.1727477834646974,0.1814808792355673,0.18785521155766785,0.20763678807571304,0.3129761632101163
gbsg2,2,adaptive kernel,0.6931502232707052,0.13057463171987493,0.1456821723696088,0.16754451877298587,0.17523464576486533,0.1814310811174975,0.2152873826485775,0.38861152425996315
gbsg2,3,adaptive kernel,0.6836536908415441,0.12571368071913408,0.1491540686435096,0.17249891057258449,0.18139531207007115,0.18990312025193024,0.22036297552396478,0.5133364702557679
gbsg2,4,adaptive kernel,0.6921492921492921,0.11252363029142667,0.13553081158975128,0.15619580961972762,0.1643666662843657,0.16747072485241504,0.1924109680280809,0.4152215313659792
gbsg2,5,adaptive kernel,0.6995490863064631,0.13029798729922482,0.14611828275537517,0.17014342451218123,0.18183221725238763,0.18981145800947635,0.22360881449793582,0.5674478145583574
gbsg2,6,adaptive kernel,0.7061179277436946,0.1086879113435709,0.12636302490341791,0.1545208518157821,0.1685378653421292,0.1765668002875005,0.1972867450325312,0.347234415323351
gbsg2,7,adaptive kernel,0.7065199404269402,0.1078834765786926,0.13541229245309572,0.1611542060347662,0.17281528441448396,0.18156946171919067,0.21015267357842812,0.5272863039584983
gbsg2,8,adaptive kernel,0.6985365853658536,0.1176685351834785,0.13842309441576925,0.15974073753513607,0.1692763618850934,0.17527118772403263,0.20398949907193184,0.3737262509824713
gbsg2,9,adaptive kernel,0.7023195876288659,0.13505552939316093,0.15610422211180233,0.17543565297615743,0.1907418514715694,0.19723754357901246,0.22756212743978024,0.7908926132977145
